Research centre,2015,2016,2017,2018,2019
ALL,7.20%,7.60%,8.00%,8.10%,8.60%
A,2.50%,3.00%,3.40%,3.70%,4.40%
B,10.70%,11.40%,11.90%,12.00%,12.50%
C,9.20%,9.70%,10.20%,10.40%,10.90%
D,8.30%,8.60%,9.00%,9.10%,9.50%
E,7.90%,8.20%,8.50%,10.10%,11.30%
F,8.70%,9.10%,9.60%,9.60%,10.10%
G,3.70%,4.00%,4.30%,4.50%,5.00%
H,8.40%,8.80%,9.20%,9.50%,10.00%
I,5.10%,5.60%,6.00%,6.20%,6.70%
J,6.40%,6.80%,7.10%,7.20%,7.60%
K,9.20%,9.70%,10.10%,10.20%,10.50%
L,9.90%,10.20%,11.00%,11.10%,11.60%
M,5.60%,6.00%,6.20%,6.30%,6.70%
