Name,Country,EightHundredM,HighJump,LongJump
Carolina Kluft,SWE,134.15,1.91,6.51
Austra Skujyte,LIT,135.92,1.76,6.3
Kelly Sotherton,GBR,132.27,1.85,6.51
Shelia Burrell,USA,135.32,1.7,6.25
Yelena Prokhorova,RUS,131.31,1.79,6.21
Sonja Kesselschlaeger,GER,135.21,1.76,6.42
Marie Collonville,FRA,133.62,1.85,6.19
Natalya Dobrynska,UKR,137.01,1.82,6.23
Margaret Simpson,GHA,137.72,1.79,6.02
Svetlana Sokolova,RUS,133.23,1.7,5.84
J J Shobha,IND,137.28,1.67,6.36
Claudia Tonn,GER,130.77,1.82,6.35
Naide Gomes,POR,140.05,1.85,6.1
Michelle Perry,USA,133.69,1.7,6.02
Aryiro Strataki,GRE,137.9,1.79,5.97
Karin Ruckstuhl,NED,133.95,1.85,5.9
Karin Ertl,GER,138.68,1.73,6.03
Kylie Wheeler,AUS,137.65,1.79,6.36
Janice Josephs,RSA,138.47,1.7,6.21
Tiffany Lott Hogan,USA,145.1,1.67,6.15
Magdalena Szczepanska,POL,133.08,1.76,5.98
Irina Naumenko,KAZ,134.57,1.79,6.16
Yuliya Akulenko,UKR,142.58,1.73,6.02
Soma Biswas,IND,132.27,1.7,5.92
Marsha Mark-Baird,TRI,141.21,1.7,6.22
Michaela Hejnova,CZE,145.68,1.7,5.7
